SELLER INFO,SELLER TYPE,BHK,PRICE,Area in sqft,LOCATION,STATUS,PRICE PER SQ.FT
Riddhi Group,BUILDER,4 , 1.83 Cr,3059 ,Upperpally,Under ConstructionConstruction Status,3059 
Swamaan Developers,BUILDER,3 , 95.7 L,1709 ,Narsingi,Ready to moveConstruction Status,1709 
Ramireddy Constructions,BUILDER,2 , 96 L,1173 ,Attapur,Under ConstructionConstruction Status,1173 
Anuhar Homes Pvt Ltd,BUILDER,3 , 93.25 L,1636 ,Manikonda,Ready to moveConstruction Status,1636 
Vessella Group,BUILDER,4 , 7.04 Cr,4259 ,Serilingampally,Under ConstructionConstruction Status,4259 
Haripriya Developers,BUILDER,Residential Plot, 1.19 Cr,3150 ,Sheriguda,NewNew/Resale,3150 
Risinia Builders,BUILDER,2 , 56.98 L,1295 ,Bachupally,Under ConstructionConstruction Status,1295 
Suchirindia Constructions Pvt Ltd,BUILDER,Residential Plot, 54 L,1800 ,Kothur,ResaleNew/Resale,1800 
Salarpuria Sattva,BUILDER,2 , 1.43 Cr,1495 ,Shaikpet,Ready to moveConstruction Status,1495 
Aakriti Constructions and Developers Pvt Ltd,BUILDER,3 , 65.82 L,1431 ,Tellapur,Under ConstructionConstruction Status,1431 
Om Sree Builders And Developers,BUILDER,3 , 1.18 Cr,2200 ,Sainikpuri,Under ConstructionConstruction Status,2200 
Vajra Builders And Developers,BUILDER,4 , 1.45 Cr,2300 ,Bachupally,Under ConstructionConstruction Status,2300 
Beams And Columns Builders Private Limited,BUILDER,2 , 61.57 L,1310 ,Kompally,Under ConstructionConstruction Status,1310 
Vasavi Constructions,BUILDER,2 , 56.02 L,1245 ,Ghatkesar,Under ConstructionConstruction Status,1245 
Prasad,BUILDER,3 , 96.22 L,1415 ,Nanakramguda,Ready to moveConstruction Status,1415 
Engineers Associates Pvt Ltd,BUILDER,3 , 63.11 L,1503 ,Mallampet,Under ConstructionConstruction Status,1503 
user,BUILDER,3 , 1.46 Cr,3120 ,Shankarpalli,Under ConstructionConstruction Status,3120 
Riddhi Group,BUILDER,3 , 1.1 Cr,1839 ,Upperpally,Under ConstructionConstruction Status,1839 
Swamaan Developers,BUILDER,3 , 96.04 L,1715 ,Narsingi,Ready to moveConstruction Status,1715 
Ramireddy Constructions,BUILDER,3 , 1.4 Cr,1777 ,Attapur,Under ConstructionConstruction Status,1777 
Anuhar Homes Pvt Ltd,BUILDER,2 , 74.55 L,1308 ,Manikonda,Ready to moveConstruction Status,1308 
Vessella Group,BUILDER,4 , 5.73 Cr,3584 ,Serilingampally,Under ConstructionConstruction Status,3584 
Haripriya Developers,BUILDER,Residential Plot, 68 L,1800 ,Sheriguda,NewNew/Resale,1800 
Risinia Builders,BUILDER,2 , 52.58 L,1195 ,Bachupally,Under ConstructionConstruction Status,1195 
Suchirindia Constructions Pvt Ltd,BUILDER,Residential Plot, 54 L,1800 ,Kothur,ResaleNew/Resale,1800 
Salarpuria Sattva,BUILDER,4 , 3.04 Cr,2965 ,Shaikpet,Ready to moveConstruction Status,2965 
Aakriti Constructions and Developers Pvt Ltd,BUILDER,3 , 66.01 L,1435 ,Tellapur,Under ConstructionConstruction Status,1435 
Om Sree Builders And Developers,BUILDER,3 , 1.18 Cr,2195 ,Sainikpuri,Under ConstructionConstruction Status,2195 
Beams And Columns Builders Private Limited,BUILDER,2 , 58.51 L,1245 ,Kompally,Under ConstructionConstruction Status,1245 
Vasavi Constructions,BUILDER,2 , 56.02 L,1245 ,Ghatkesar,Under ConstructionConstruction Status,1245 
Prasad,BUILDER,3 , 96.9 L,1425 ,Nanakramguda,Ready to moveConstruction Status,1425 
Engineers Associates Pvt Ltd,BUILDER,2 , 46.48 L,1107 ,Mallampet,Under ConstructionConstruction Status,1107 
user,BUILDER,3 , 1.41 Cr,3000 ,Shankarpalli,Under ConstructionConstruction Status,3000 
Riddhi Group,BUILDER,3 , 1.25 Cr,2091 ,Upperpally,Under ConstructionConstruction Status,2091 
Swamaan Developers,BUILDER,3 , 1.05 Cr,1884 ,Narsingi,Ready to moveConstruction Status,1884 
Anuhar Homes Pvt Ltd,BUILDER,2 , 71.36 L,1252 ,Manikonda,Ready to moveConstruction Status,1252 
Vessella Group,BUILDER,4 , 6.17 Cr,3632 ,Serilingampally,Under ConstructionConstruction Status,3632 
Haripriya Developers,BUILDER,Residential Plot, 60.52 L,1602 ,Sheriguda,NewNew/Resale,1602 
Risinia Builders,BUILDER,3 , 74.58 L,1695 ,Bachupally,Under ConstructionConstruction Status,1695 
Suchirindia Constructions Pvt Ltd,BUILDER,2 , 43.6 L,890 ,Shamshabad,Under ConstructionConstruction Status,890 
Salarpuria Sattva,BUILDER,3 , 1.77 Cr,1865 ,Shaikpet,Ready to moveConstruction Status,1865 
Aakriti Constructions and Developers Pvt Ltd,BUILDER,3 , 72.22 L,1570 ,Tellapur,Under ConstructionConstruction Status,1570 
Om Sree Builders And Developers,BUILDER,3 , 1.15 Cr,2130 ,Sainikpuri,Under ConstructionConstruction Status,2130 
Beams And Columns Builders Private Limited,BUILDER,3 , 74.02 L,1575 ,Kompally,Under ConstructionConstruction Status,1575 
Vasavi Constructions,BUILDER,3 , 70.65 L,1570 ,Ghatkesar,Under ConstructionConstruction Status,1570 
Engineers Associates Pvt Ltd,BUILDER,3 , 63.48 L,1512 ,Mallampet,Under ConstructionConstruction Status,1512 
seller,OWNER,2 , 43.17 L,1439 ,Patancheru,Ready to moveConstruction Status,1439 
Fudosan Developers and Agency,AGENT,3 , 92.62 L,1597 ,Tellapur,Under ConstructionConstruction Status,1597 
Om Sri Sai Ram Rentals,AGENT,2 , 47 L,1050 ,Nacharam,Ready to moveConstruction Status,1050 
seller,OWNER,4 , 78 L,1820 ,Indresham,Ready to moveConstruction Status,1820 
seller,OWNER,2 , 1.85 Cr,1800 ,Malakpet,Ready to moveConstruction Status,1800 
seller,OWNER,3 , 1.45 Cr,1591 ,East Marredpally,Ready to moveConstruction Status,1591 
seller,OWNER,3 , 1.35 Cr,1900 ,Bhanur,Ready to moveConstruction Status,1900 
seller,OWNER,3 , 70 L,1545 ,Manikonda,Ready to moveConstruction Status,1545 
Dream Weavers Realty Consultants Pvt Ltd,AGENT,3 , 62.37 L,1025 ,Aushapur,Under ConstructionConstruction Status,1025 
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,1150 
seller,OWNER,4 , 72 L,1760 ,Balapur,Under ConstructionConstruction Status,1760 
seller,OWNER,3 , 95 L,2600 ,Ramachandra Puram,Ready to moveConstruction Status,2600 
seller,OWNER,5 , 2.2 Cr,3800 ,Yapral,Ready to moveConstruction Status,3800 
seller,OWNER,2 , 45.62 L,1233 ,Bachupally,Under ConstructionConstruction Status,1233 
seller,OWNER,3 , 58 L,1470 ,Nizampet,Ready to moveConstruction Status,1470 
seller,OWNER,2 , 41 L,1039 ,Kompally,Under ConstructionConstruction Status,1039 
seller,OWNER,2 , 22 L,1200 ,Shamirpet,Under ConstructionConstruction Status,1200 
seller,OWNER,2 , 60 L,1212 ,Nagole,Ready to moveConstruction Status,1212 
seller,OWNER,4 , 1.61 Cr,3237 ,Mokila,Under ConstructionConstruction Status,3237 
seller,OWNER,2 , 65 L,1185 ,Miyapur,Ready to moveConstruction Status,1185 
seller,OWNER,3 , 95 L,1540 ,Moosapet,Ready to moveConstruction Status,1540 
seller,OWNER,4 , 1.9 Cr,3200 ,Shamshabad,Under ConstructionConstruction Status,3200 
seller,OWNER,4 , 48 L,1090 ,Malakpet,Ready to moveConstruction Status,1090 
seller,OWNER,3 , 1.75 Cr,2080 ,Tarnaka,Ready to moveConstruction Status,2080 
seller,OWNER,5 , 3 Cr,2450 ,Uppal,Ready to moveConstruction Status,2450 
seller,OWNER,2 , 25 L,1075 ,Medchal,Under ConstructionConstruction Status,1075 
seller,OWNER,Residential Plot, 90.78 L,2400 ,Bhanur,ResaleNew/Resale,2400 
seller,OWNER,Residential Plot, 24.75 L,1485 ,Shadnagar,ResaleNew/Resale,1485 
seller,OWNER,7 , 6.3 Cr,4077 ,Himayat Nagar,Ready to moveConstruction Status,4077 
seller,OWNER,3 , 1.55 Cr,1641 ,Aminpur,Ready to moveConstruction Status,1641 
seller,OWNER,2 , 32 L,750 ,Ramachandra Puram,Ready to moveConstruction Status,750 
seller,OWNER,4 , 64 L,1250 ,Patancheru,Under ConstructionConstruction Status,1250 
seller,OWNER,2 , 90 L,1800 ,Nagole,Ready to moveConstruction Status,1800 
seller,OWNER,2 , 20 L,920 ,Isnapur,Under ConstructionConstruction Status,920 
seller,OWNER,Residential Plot, 25.99 L,1800 ,Maheshwaram,ResaleNew/Resale,1800 
seller,OWNER,3 , 65 L,1500 ,Bachupally,Ready to moveConstruction Status,1500 
seller,OWNER,Residential Plot, 1.05 Cr,2115 ,Bandlaguda Jagir,ResaleNew/Resale,2115 
seller,OWNER,Residential Plot, 8.25 L,1350 ,Toopran,ResaleNew/Resale,1350 
seller,OWNER,Residential Plot, 26 L,1800 ,Chilkamarri,ResaleNew/Resale,1800 
seller,OWNER,Residential Plot, 14.99 L,1968 ,Shadnagar,ResaleNew/Resale,1968 
seller,OWNER,8 , 2.05 Cr,5600 ,Rampally,Ready to moveConstruction Status,5600 
seller,OWNER,Residential Plot, 31 L,1800 ,Ghatkesar,ResaleNew/Resale,1800 
seller,OWNER,1 , 25 L,380 ,Narsingi,Under ConstructionConstruction Status,380 
seller,OWNER,3 , 29 L,1450 ,Patancheru,Under ConstructionConstruction Status,1450 
seller,OWNER,2 , 1.05 Cr,1200 ,Yellareddy Guda,Ready to moveConstruction Status,1200 
seller,OWNER,3 , 1.49 Cr,1677 ,Kavadiguda,Ready to moveConstruction Status,1677 
seller,OWNER,6 , 3.7 Cr,3232 ,Banjara Hills,Ready to moveConstruction Status,3232 
seller,OWNER,Residential Plot, 1.14 Cr,1377 ,Puppalaguda,ResaleNew/Resale,1377 
seller,OWNER,3 , 1.2 Cr,2000 ,Bahadurpally,Under ConstructionConstruction Status,2000 
seller,OWNER,2 , 80 L,1100 ,Miyapur,Ready to moveConstruction Status,1100 
seller,OWNER,2 , 39.5 L,730 ,Kukatpally,Ready to moveConstruction Status,730 
seller,OWNER,Residential Plot, 2 Cr,2880 ,Gajularamaram,ResaleNew/Resale,2880 
seller,OWNER,Residential Plot, 18 L,1800 ,Yacharam,ResaleNew/Resale,1800 
seller,OWNER,2 , 87 L,1230 ,Manikonda,Ready to moveConstruction Status,1230 
Fudosan Developers and Agency,AGENT,3 , 1.28 Cr,2208 ,Tellapur,Under ConstructionConstruction Status,2208 
Fudosan Developers and Agency,AGENT,3 , 2.07 Cr,3569 ,Tellapur,Under ConstructionConstruction Status,3569 
Fudosan Developers and Agency,AGENT,3 , 1.17 Cr,2132 ,Tellapur,Under ConstructionConstruction Status,2132 
Fudosan Developers and Agency,AGENT,3 , 1 Cr,2132 ,Tellapur,Under ConstructionConstruction Status,2132 
seller,OWNER,4 , 78 L,1820 ,Indresham,Ready to moveConstruction Status,1820 
seller,OWNER,4 , 78 L,1820 ,Indresham,Ready to moveConstruction Status,1820 
seller,OWNER,4 , 78 L,1820 ,Indresham,Ready to moveConstruction Status,1820 
seller,OWNER,4 , 78 L,1820 ,Indresham,Ready to moveConstruction Status,1820 
seller,OWNER,4 , 78 L,1820 ,Indresham,Ready to moveConstruction Status,1820 
seller,OWNER,4 , 78 L,1820 ,Indresham,Ready to moveConstruction Status,1820 
seller,OWNER,4 , 78 L,1820 ,Indresham,Ready to moveConstruction Status,1820 
seller,OWNER,4 , 78 L,1820 ,Indresham,Ready to moveConstruction Status,1820 
seller,OWNER,4 , 78 L,1820 ,Indresham,Ready to moveConstruction Status,1820 
seller,OWNER,2 , 1.85 Cr,1800 ,Malakpet,Ready to moveConstruction Status,1800 
seller,OWNER,2 , 1.85 Cr,1800 ,Malakpet,Ready to moveConstruction Status,1800 
seller,OWNER,3 , 1.35 Cr,1900 ,Bhanur,Ready to moveConstruction Status,1900 
seller,OWNER,3 , 1.35 Cr,1900 ,Bhanur,Ready to moveConstruction Status,1900 
seller,OWNER,3 , 1.35 Cr,1900 ,Bhanur,Ready to moveConstruction Status,1900 
seller,OWNER,3 , 1.35 Cr,1900 ,Bhanur,Ready to moveConstruction Status,1900 
seller,OWNER,3 , 70 L,1545 ,Manikonda,Ready to moveConstruction Status,1545 
seller,OWNER,3 , 1.35 Cr,1900 ,Bhanur,Ready to moveConstruction Status,1900 
seller,OWNER,3 , 1.35 Cr,1900 ,Bhanur,Ready to moveConstruction Status,1900 
seller,OWNER,3 , 1.35 Cr,1900 ,Bhanur,Ready to moveConstruction Status,1900 
seller,OWNER,3 , 1.35 Cr,1900 ,Bhanur,Ready to moveConstruction Status,1900 
seller,OWNER,3 , 70 L,1545 ,Manikonda,Ready to moveConstruction Status,1545 
seller,OWNER,2 , 55 L,1260 ,Manikonda,Ready to moveConstruction Status,1260 
seller,OWNER,2 , 55 L,1260 ,Manikonda,Ready to moveConstruction Status,1260 
seller,OWNER,2 , 55 L,1260 ,Manikonda,Ready to moveConstruction Status,1260 
seller,OWNER,3 , 1.35 Cr,1900 ,Bhanur,Ready to moveConstruction Status,1900 
Dream Weavers Realty Consultants Pvt Ltd,AGENT,3 , 69.25 L,1150 ,Aushapur,Under ConstructionConstruction Status,1150 
Dream Weavers Realty Consultants Pvt Ltd,AGENT,3 , 76.12 L,1275 ,Aushapur,Under ConstructionConstruction Status,1275 
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,1150 
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,1150 
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,1150 
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,1150 
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,1150 
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,1150 
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,1150 
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,1150 
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,1150 
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,1150 
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,1150 
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,1150 
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,1150 
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,1150 
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,1150 
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,1150 
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,1150 
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,1150 
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,1150 
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,1150 
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,1150 
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,1150 
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,1150 
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,1150 
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,1150 
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,1150 
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,1150 
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,1150 
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,1150 
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,1150 
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,1150 
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,1150 
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,1150 
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,1150 
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,1150 
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,1150 
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,1150 
seller,OWNER,2 , 75 L,1189 ,muthangi,Ready to moveConstruction Status,1189 
seller,OWNER,2 , 75 L,1189 ,muthangi,Ready to moveConstruction Status,1189 
seller,OWNER,2 , 22 L,1200 ,Shamirpet,Under ConstructionConstruction Status,1200 
seller,OWNER,2 , 22 L,1200 ,Shamirpet,Under ConstructionConstruction Status,1200 
seller,OWNER,2 , 22 L,1200 ,Shamirpet,Under ConstructionConstruction Status,1200 
seller,OWNER,2 , 45.62 L,1233 ,Puppalaguda,Under ConstructionConstruction Status,1233 
seller,OWNER,2 , 41 L,1039 ,Kompally,Under ConstructionConstruction Status,1039 
seller,OWNER,2 , 41 L,1039 ,Kompally,Under ConstructionConstruction Status,1039 
seller,OWNER,2 , 41 L,1039 ,Kompally,Under ConstructionConstruction Status,1039 
seller,OWNER,2 , 45.62 L,1233 ,Puppalaguda,Under ConstructionConstruction Status,1233 
seller,OWNER,2 , 45.62 L,1233 ,Puppalaguda,Under ConstructionConstruction Status,1233 
seller,OWNER,2 , 45.62 L,1233 ,Puppalaguda,Under ConstructionConstruction Status,1233 
seller,OWNER,2 , 22 L,1200 ,Shamirpet,Under ConstructionConstruction Status,1200 
seller,OWNER,2 , 22 L,1200 ,Shamirpet,Under ConstructionConstruction Status,1200 
seller,OWNER,2 , 45.62 L,1233 ,Puppalaguda,Under ConstructionConstruction Status,1233 
seller,OWNER,2 , 45.62 L,1233 ,Puppalaguda,Under ConstructionConstruction Status,1233 
seller,OWNER,2 , 45.62 L,1233 ,Puppalaguda,Under ConstructionConstruction Status,1233 
seller,OWNER,2 , 45.62 L,1233 ,Puppalaguda,Under ConstructionConstruction Status,1233 
seller,OWNER,2 , 45.62 L,1233 ,Puppalaguda,Under ConstructionConstruction Status,1233 
seller,OWNER,2 , 22 L,1200 ,Shamirpet,Under ConstructionConstruction Status,1200 
seller,OWNER,2 , 22 L,1200 ,Shamirpet,Under ConstructionConstruction Status,1200 
seller,OWNER,2 , 22 L,1200 ,Shamirpet,Under ConstructionConstruction Status,1200 
seller,OWNER,2 , 22 L,1200 ,Shamirpet,Under ConstructionConstruction Status,1200 
seller,OWNER,2 , 45.62 L,1233 ,Puppalaguda,Under ConstructionConstruction Status,1233 
seller,OWNER,2 , 65 L,1150 ,Manikonda,Ready to moveConstruction Status,1150 
seller,OWNER,2 , 55 L,950 ,muthangi,Under ConstructionConstruction Status,950 
seller,OWNER,2 , 55 L,950 ,muthangi,Under ConstructionConstruction Status,950 
seller,OWNER,2 , 75 L,1189 ,muthangi,Ready to moveConstruction Status,1189 
seller,OWNER,2 , 45.62 L,1233 ,Bachupally,Under ConstructionConstruction Status,1233 
seller,OWNER,2 , 55 L,950 ,muthangi,Under ConstructionConstruction Status,950 
seller,OWNER,2 , 55 L,950 ,muthangi,Under ConstructionConstruction Status,950 
seller,OWNER,2 , 55 L,950 ,muthangi,Under ConstructionConstruction Status,950 
seller,OWNER,2 , 75 L,1189 ,muthangi,Ready to moveConstruction Status,1189 
seller,OWNER,2 , 75 L,1189 ,muthangi,Ready to moveConstruction Status,1189 
seller,OWNER,2 , 45.62 L,1233 ,Bachupally,Under ConstructionConstruction Status,1233 
seller,OWNER,2 , 45.62 L,1233 ,Bachupally,Under ConstructionConstruction Status,1233 
seller,OWNER,2 , 45.62 L,1233 ,Bachupally,Under ConstructionConstruction Status,1233 
seller,OWNER,2 , 45.62 L,1233 ,Bachupally,Under ConstructionConstruction Status,1233 
seller,OWNER,2 , 45.62 L,1233 ,Bachupally,Under ConstructionConstruction Status,1233 
seller,OWNER,2 , 45.62 L,1233 ,Bachupally,Under ConstructionConstruction Status,1233 
seller,OWNER,3 , 70 L,1833 ,Manikonda,Ready to moveConstruction Status,1833 
seller,OWNER,3 , 70 L,1833 ,Manikonda,Ready to moveConstruction Status,1833 
seller,OWNER,5 , 3 Cr,2450 ,Uppal,Ready to moveConstruction Status,2450 
seller,OWNER,2 , 25 L,1075 ,Medchal,Under ConstructionConstruction Status,1075 
seller,OWNER,3 , 1.35 Cr,1800 ,Nanakramguda,Ready to moveConstruction Status,1800 
seller,OWNER,2 , 25 L,1075 ,Medchal,Under ConstructionConstruction Status,1075 
seller,OWNER,2 , 64 L,1250 ,Patancheru,Under ConstructionConstruction Status,1250 
seller,OWNER,2 , 64 L,1250 ,Patancheru,Under ConstructionConstruction Status,1250 
seller,OWNER,2 , 20 L,920 ,Isnapur,Under ConstructionConstruction Status,920 
seller,OWNER,2 , 20 L,920 ,Isnapur,Under ConstructionConstruction Status,920 
seller,OWNER,2 , 20 L,920 ,Isnapur,Under ConstructionConstruction Status,920 
seller,OWNER,Residential Plot, 25.99 L,1800 ,Mucherla,ResaleNew/Resale,1800 
seller,OWNER,Residential Plot, 25.99 L,1800 ,Mucherla,ResaleNew/Resale,1800 
seller,OWNER,Residential Plot, 25.99 L,1800 ,Mucherla,ResaleNew/Resale,1800 
seller,OWNER,Residential Plot, 25.99 L,1800 ,Mucherla,ResaleNew/Resale,1800 
seller,OWNER,Residential Plot, 26 L,1800 ,Mucherla,ResaleNew/Resale,1800 
seller,OWNER,Residential Plot, 26 L,1800 ,Mucherla,ResaleNew/Resale,1800 
seller,OWNER,Residential Plot, 26 L,1800 ,Mucherla,ResaleNew/Resale,1800 
seller,OWNER,Residential Plot, 26 L,1800 ,Mucherla,ResaleNew/Resale,1800 
seller,OWNER,Residential Plot, 25.99 L,1800 ,Mucherla,ResaleNew/Resale,1800 
seller,OWNER,Residential Plot, 25.99 L,1800 ,Mucherla,ResaleNew/Resale,1800 
seller,OWNER,Residential Plot, 25.99 L,1800 ,Mucherla,ResaleNew/Resale,1800 
seller,OWNER,Residential Plot, 25.99 L,1800 ,Mucherla,ResaleNew/Resale,1800 
seller,OWNER,Residential Plot, 25.99 L,1800 ,Mucherla,ResaleNew/Resale,1800 
seller,OWNER,Residential Plot, 25.99 L,1800 ,Mucherla,ResaleNew/Resale,1800 
seller,OWNER,Residential Plot, 25.99 L,1800 ,Mucherla,ResaleNew/Resale,1800 
seller,OWNER,Residential Plot, 25.99 L,1800 ,Maheshwaram,ResaleNew/Resale,1800 
seller,OWNER,Residential Plot, 25.99 L,1800 ,Maheshwaram,ResaleNew/Resale,1800 
seller,OWNER,Residential Plot, 25.99 L,1800 ,Mucherla,ResaleNew/Resale,1800 
seller,OWNER,Residential Plot, 25.99 L,1800 ,Mucherla,ResaleNew/Resale,1800 
seller,OWNER,Residential Plot, 25.99 L,1800 ,Mucherla,ResaleNew/Resale,1800 
seller,OWNER,Residential Plot, 25.99 L,1800 ,Mucherla,ResaleNew/Resale,1800 
seller,OWNER,Residential Plot, 8.25 L,1350 ,Toopran,ResaleNew/Resale,1350 
seller,OWNER,Residential Plot, 8.25 L,1350 ,Toopran,ResaleNew/Resale,1350 
seller,OWNER,Residential Plot, 8.25 L,1350 ,Toopran,ResaleNew/Resale,1350 
seller,OWNER,Residential Plot, 8.25 L,1350 ,Toopran,ResaleNew/Resale,1350 
seller,OWNER,Residential Plot, 8.25 L,1350 ,Toopran,ResaleNew/Resale,1350 
seller,OWNER,Residential Plot, 8.25 L,1350 ,Toopran,ResaleNew/Resale,1350 
seller,OWNER,Residential Plot, 8.25 L,1350 ,Toopran,ResaleNew/Resale,1350 
seller,OWNER,Residential Plot, 8.25 L,1350 ,Toopran,ResaleNew/Resale,1350 
seller,OWNER,Residential Plot, 8.25 L,1350 ,Toopran,ResaleNew/Resale,1350 
seller,OWNER,Residential Plot, 31 L,1800 ,Ghatkesar,ResaleNew/Resale,1800 
seller,OWNER,Residential Plot, 31 L,1800 ,Ghatkesar,ResaleNew/Resale,1800 
seller,OWNER,Residential Plot, 31 L,1800 ,Ghatkesar,ResaleNew/Resale,1800 
seller,OWNER,Residential Plot, 31 L,1800 ,Ghatkesar,ResaleNew/Resale,1800 
seller,OWNER,Residential Plot, 31 L,1800 ,Ghatkesar,ResaleNew/Resale,1800 
seller,OWNER,Residential Plot, 38.85 L,4995 ,Pulimamidi,ResaleNew/Resale,4995 
seller,OWNER,Residential Plot, 38.85 L,4995 ,Pulimamidi,ResaleNew/Resale,4995 
seller,OWNER,Residential Plot, 31 L,1800 ,Ghatkesar,ResaleNew/Resale,1800 
seller,OWNER,Residential Plot, 31 L,1800 ,Ghatkesar,ResaleNew/Resale,1800 
seller,OWNER,Residential Plot, 31 L,1800 ,Ghatkesar,ResaleNew/Resale,1800 
seller,OWNER,Residential Plot, 38.85 L,4995 ,Pulimamidi,ResaleNew/Resale,4995 
seller,OWNER,Residential Plot, 38.85 L,4995 ,Pulimamidi,ResaleNew/Resale,4995 
seller,OWNER,Residential Plot, 38.85 L,4995 ,Pulimamidi,ResaleNew/Resale,4995 
seller,OWNER,Residential Plot, 38.85 L,4995 ,Pulimamidi,ResaleNew/Resale,4995 
seller,OWNER,3 , 3.7 Cr,3232 ,Banjara Hills,Ready to moveConstruction Status,3232 
seller,OWNER,3 , 29 L,1450 ,Patancheru,Under ConstructionConstruction Status,1450 
seller,OWNER,3 , 29 L,1450 ,Patancheru,Under ConstructionConstruction Status,1450 
seller,OWNER,3 , 29 L,1450 ,Patancheru,Under ConstructionConstruction Status,1450 
seller,OWNER,3 , 29 L,1450 ,Patancheru,Under ConstructionConstruction Status,1450 
seller,OWNER,3 , 3.7 Cr,3232 ,Banjara Hills,Ready to moveConstruction Status,3232 
seller,OWNER,3 , 3.7 Cr,3232 ,Banjara Hills,Ready to moveConstruction Status,3232 
seller,OWNER,3 , 1.49 Cr,1677 ,Kavadiguda,Ready to moveConstruction Status,1677 
seller,OWNER,3 , 1.2 Cr,2000 ,Bahadurpally,Under ConstructionConstruction Status,2000 
seller,OWNER,3 , 1.2 Cr,2000 ,Bahadurpally,Under ConstructionConstruction Status,2000 
seller,OWNER,3 , 1.2 Cr,2000 ,Bahadurpally,Under ConstructionConstruction Status,2000 
seller,OWNER,3 , 1.2 Cr,2000 ,Bahadurpally,Under ConstructionConstruction Status,2000 
seller,OWNER,3 , 1.2 Cr,2000 ,Bahadurpally,Under ConstructionConstruction Status,2000 
seller,OWNER,Residential Plot, 18 L,1800 ,Yacharam,ResaleNew/Resale,1800 
seller,OWNER,Residential Plot, 18 L,1800 ,Yacharam,ResaleNew/Resale,1800 
seller,OWNER,Residential Plot, 18 L,1800 ,Yacharam,ResaleNew/Resale,1800 
seller,OWNER,Residential Plot, 18 L,1800 ,Yacharam,ResaleNew/Resale,1800 
seller,OWNER,3 , 95 L,2600 ,Mokila,Under ConstructionConstruction Status,2600 
seller,OWNER,2 , 87 L,1230 ,Manikonda,Ready to moveConstruction Status,1230 
seller,OWNER,3 , 95 L,2600 ,Mokila,Under ConstructionConstruction Status,2600 
seller,OWNER,2 , 50 L,1110 ,Kismatpur,Under ConstructionConstruction Status,1110 
seller,OWNER,2 , 42 L,1000 ,Mokila,Under ConstructionConstruction Status,1000 
seller,OWNER,2 , 48 L,1000 ,Mokila,Under ConstructionConstruction Status,1000 
seller,OWNER,2 , 42 L,1000 ,Mokila,Under ConstructionConstruction Status,1000 
